,index,registration,aircraft_type,serial_No,age,company
732,794,C-FWAD,Boeing 767-338(ER),25363,28,WestJet
733,795,C-GOGN,Boeing 767-338(ER),25576,25,WestJet
734,797,C-GKKN,Boeing 787-9 Dreamliner,64977,Brand,WestJet
735,798,C-GUDH,Boeing 787-9 Dreamliner,64974,1,WestJet
736,799,C-GUDO,Boeing 787-9 Dreamliner,64976,1,WestJet
737,800,C-GURP,Boeing 787-9 Dreamliner,64975,1,WestJet
738,801,C-GYRS,Boeing 787-9 Dreamliner,64978,Brand,WestJet
739,803,C-FENJ,De Havilland Canada Dash 8-400,4496,5,WestJet
740,804,C-FENO,De Havilland Canada Dash 8-400,4526,3,WestJet
741,805,C-FENU,De Havilland Canada Dash 8-400,4446,6,WestJet
742,806,C-FENY,De Havilland Canada Dash 8-400,4447,6,WestJet
743,807,C-FHEN,De Havilland Canada Dash 8-400,4441,7,WestJet
744,808,C-FIWE,De Havilland Canada Dash 8-400,4466,6,WestJet
745,809,C-FJWE,De Havilland Canada Dash 8-400,4515,4,WestJet
746,810,C-FKWE,De Havilland Canada Dash 8-400,4467,6,WestJet
747,811,C-FNEN,De Havilland Canada Dash 8-400,4453,6,WestJet
748,812,C-FOEN,De Havilland Canada Dash 8-400,4440,7,WestJet
749,813,C-FOWE,De Havilland Canada Dash 8-400,4471,6,WestJet
750,814,C-FQWE,De Havilland Canada Dash 8-400,4473,5,WestJet
751,815,C-FSWE,De Havilland Canada Dash 8-400,4517,4,WestJet
752,816,C-FUWE,De Havilland Canada Dash 8-400,4477,5,WestJet
753,817,C-FWEP,De Havilland Canada Dash 8-400,4548,3,WestJet
754,818,C-FWEW,De Havilland Canada Dash 8-400,4543,3,WestJet
755,819,C-FWEZ,De Havilland Canada Dash 8-400,4483,5,WestJet
756,820,C-GDEN,De Havilland Canada Dash 8-400,4500,4,WestJet
757,821,C-GDEW,De Havilland Canada Dash 8-400,4563,2,WestJet
758,822,C-GEEN,De Havilland Canada Dash 8-400,4501,4,WestJet
759,823,C-GENK,De Havilland Canada Dash 8-400,4527,3,WestJet
760,824,C-GENO,De Havilland Canada Dash 8-400,4535,3,WestJet
761,825,C-GENU,De Havilland Canada Dash 8-400,4511,4,WestJet
762,826,C-GENV,De Havilland Canada Dash 8-400,4553,3,WestJet
763,827,C-GEWR,De Havilland Canada Dash 8-400,4546,3,WestJet
764,828,C-GJEN,De Havilland Canada Dash 8-400,4536,3,WestJet
765,829,C-GJWE,De Havilland Canada Dash 8-400,4460,6,WestJet
766,830,C-GKWE,De Havilland Canada Dash 8-400,4549,3,WestJet
767,831,C-GLWJ,De Havilland Canada Dash 8-400,4522,4,WestJet
768,832,C-GPWE,De Havilland Canada Dash 8-400,4552,3,WestJet
769,833,C-GTWE,De Havilland Canada Dash 8-400,4518,4,WestJet
770,834,C-GVEN,De Havilland Canada Dash 8-400,4532,4,WestJet
771,835,C-GVWE,De Havilland Canada Dash 8-400,4485,5,WestJet
772,836,C-GWEF,De Havilland Canada Dash 8-400,4487,5,WestJet
773,837,C-GWEG,De Havilland Canada Dash 8-400,4488,5,WestJet
774,838,C-GWEJ,De Havilland Canada Dash 8-400,4557,2,WestJet
775,839,C-GWEN,De Havilland Canada Dash 8-400,4537,3,WestJet
776,840,C-GWEO,De Havilland Canada Dash 8-400,4462,6,WestJet
777,841,C-GWEP,De Havilland Canada Dash 8-400,4463,6,WestJet
778,842,C-GWEQ,De Havilland Canada Dash 8-400,4490,5,WestJet
779,843,C-GWEU,De Havilland Canada Dash 8-400,4493,5,WestJet
780,844,C-GWFE,De Havilland Canada Dash 8-400,4568,2,WestJet
781,845,C-GWJK,De Havilland Canada Dash 8-400,4556,2,WestJet
782,846,C-GWRE,De Havilland Canada Dash 8-400,4576,2,WestJet
783,847,C-GWUE,De Havilland Canada Dash 8-400,4560,2,WestJet
784,849,C-GPCF,Saab 340B,340B-426,22,WestJet
785,850,C-GPCI,Saab 340B,340B-407,23,WestJet
786,851,C-GPCJ,Saab 340B,340B-414,36,WestJet
787,853,C-FLBV,Boeing 737-8CT,40836,4,Swoop
788,854,C-FLSF,Boeing 737-8CT,40838,4,Swoop
789,855,C-FONK,Boeing 737-8CT,40835,4,Swoop
790,856,C-FPLS,Boeing 737-8CT,60132,4,Swoop
791,857,C-FYBK,Boeing 737-8CT,40336,4,Swoop
792,858,C-FYPB,Boeing 737-8CT,40839,4,Swoop
793,859,C-GDMP,Boeing 737-8CT,60131,5,Swoop
794,860,C-GNDG,Boeing 737-8CT,40337,4,Swoop
795,861,C-GXRW,Boeing 737-8CT,39082,4,Swoop
796,863,C-FAXD,Boeing 737 MAX 8,44299,1,Sunwing
797,864,C-FMXA,Boeing 737 MAX 8,43297,1,Sunwing
798,865,C-FTXE,Boeing 737 MAX 8,43301,1,Sunwing
799,866,C-FTXF,Boeing 737 MAX 8,43303,1,Sunwing
800,867,C-FYXC,Boeing 737 MAX 8,44298,1,Sunwing
801,868,C-GMXB,Boeing 737 MAX 8,60387,1,Sunwing
802,870,C-FDBD,Boeing 737-8Q8,30703,13,Sunwing
803,871,C-FFPH,Boeing 737-81D,39440,5,Sunwing
804,872,C-FJVE,Boeing 737-8DC,34596,14,Sunwing
805,873,C-FLSW,Boeing 737-8HX,36552,11,Sunwing
806,874,C-FPRP,Boeing 737-8FH,39959,4,Sunwing
807,875,C-FTDW,Boeing 737-808,34704,13,Sunwing
808,876,C-FTOH,Boeing 737-8HX,29647,11,Sunwing
809,877,C-FWGH,Boeing 737-86J,37752,8,Sunwing
810,878,C-FYJD,Boeing 737-8Q8,41807,4,Sunwing
811,879,C-GBZS,Boeing 737-8SH,42053,4,Sunwing
812,880,C-GFEH,Boeing 737-8GS,41608,5,Sunwing
813,881,C-GLRN,Boeing 737-8SH,41353,3,Sunwing
814,882,C-GNCH,Boeing 737-81D,39438,6,Sunwing
815,883,C-GOWG,Boeing 737-86J,37757,9,Sunwing
816,885,C-FIQR,ATR 42-300(QC),133,31,First Air
817,886,C-FIQU,ATR 42-300(QC),138,31,First Air
818,887,C-GHCP,ATR 42-300(QC),123,31,First Air
819,888,C-GKLB,ATR 42-300,331,27,First Air
820,889,C-GSRR,ATR 42-300(QC),125,31,First Air
821,890,C-GULU,ATR 42-320,155,30,First Air
822,891,C-GUNO,ATR 42-320,132,31,First Air
823,893,C-FTID,ATR 42-500,510,23,First Air
824,894,C-FTIK,ATR 42-500,604,20,First Air
825,895,C-FTIQ,ATR 42-500,609,19,First Air
826,896,C-FTIR,ATR 42-500,503,24,First Air
827,897,C-FTIZ,ATR 42-500,556,22,First Air
828,899,C-FFNC,Boeing 737-406(C),27232,26,First Air
829,900,C-FFNE,Boeing 737-406(A),27233,26,First Air
830,901,C-FFNF,Boeing 737-406(A),25412,28,First Air
831,902,C-FFNM,Boeing 737-436,25839,28,First Air
832,904,C-GHPW,Lockheed L-100-30 Hercules,4799,39,First Air
833,906,C-FERJ,Avro RJ85,E2290,23,First Air
